path	tokens	reads	description
src/components/activity-feed.tsx	1277	0	activity-feed component
src/components/add-component-button.tsx	1590	0	add-component-button component
src/components/agent-connect-button.tsx	153	0	agent-connect-button component
src/components/agent-connect-flow.tsx	653	0	Renders the two-step 'Connect an agent' flow: generate API key button, then prompt display with copy-to-clipboard and 1h expiry warning
src/components/agent-connect-modal.tsx	186	0	agent-connect-modal component
src/components/api-key-manager.tsx	1469	0	api-key-manager component
src/components/approval-rule-editor.tsx	3037	0	approval-rule-editor component
src/components/cleanup-client.tsx	4075	0	cleanup-client component
src/components/command-palette.tsx	2208	0	command-palette component
src/components/confirm-delete-modal.tsx	700	0	confirm-delete-modal component
src/components/connect-manager.tsx	1556	0	connect-manager component
src/components/content-index.tsx	3199	0	content-index component
src/components/content-rules-editor.tsx	9056	0	content-rules-editor component
src/components/dashboard-client.tsx	4269	0	dashboard-client component
src/components/dashboard-feed.tsx	815	0	dashboard-feed component
src/components/dashboard-tabs.tsx	1088	0	dashboard-tabs component
src/components/editable-component.tsx	762	0	editable-component component
src/components/folder-actions.tsx	8385	0	folder-actions component
src/components/group-manager.tsx	2984	0	group-manager component
src/components/group-picklist.tsx	494	0	group-picklist component
src/components/inline-component-editor.tsx	1903	0	inline-component-editor component
src/components/member-list.tsx	2860	0	member-list component
src/components/new-page-button.tsx	1617	0	new-page-button component
src/components/org-settings.tsx	2003	0	org-settings component
src/components/org-tags-manager.tsx	606	0	org-tags-manager component
src/components/page-detail-client.tsx	9138	0	page-detail-client component
src/components/page-folder-select.tsx	384	0	page-folder-select component
src/components/page-prompt-dialog.tsx	1051	0	page-prompt-dialog component
src/components/page-settings-general.tsx	427	0	page-settings-general component
src/components/page-settings-tags.tsx	928	0	page-settings-tags component
src/components/page-tags.tsx	1303	0	PageTags: renders a page's tags as kind-tinted chips with add/remove/re-kind actions, hits POST/DELETE /api/tags, delegates the add-tag UI to TagPicker in tag-picker.tsx
src/components/page-viewer.tsx	2773	0	page-viewer component
src/components/public-annotation-client.tsx	2869	0	public-annotation-client component
src/components/report-builder.tsx	5145	0	report-builder component
src/components/review-queue-client.tsx	2644	0	review-queue-client component
src/components/settings-tabs.tsx	410	0	settings-tabs component
src/components/sidebar.tsx	6192	0	sidebar component
src/components/source-editor.tsx	2744	0	source-editor component
src/components/tag-picker.tsx	1639	0	tag-picker component
src/components/tags-manager.tsx	2883	0	tags-manager component
src/components/theme-script.tsx	189	0	theme-script component
src/components/theme-settings.tsx	1394	0	theme-settings component
src/components/toast.stories.tsx	194	0	toast.stories component
src/components/toast.tsx	478	0	toast component
src/components/trust-banner.tsx	1104	0	trust-banner component
src/components/version-history.tsx	1605	0	version-history component
src/components/visibility-picker.tsx	1403	0	visibility-picker component
